x,y,f
0,0,0.2242848237
0.166666666666667,0,0.2119933006
0.333333333333333,0,0.1996521711
0.5,0,0.1872614352
0.666666666666667,0,0.1748210928
0.833333333333333,0,0.1623311439
1,0,0.1497915887
0,0.166666666666667,0.230230704
0.166666666666667,0.166666666666667,0.2176579926
0.333333333333333,0.166666666666666,0.2050356747
0.5,0.166666666666667,0.1923637503
0.666666666666667,0.166666666666667,0.1796422195
0.833333333333333,0.166666666666667,0.1668710823
0,0.333333333333333,0.2354634047
0.166666666666667,0.333333333333333,0.2226095048
0.333333333333333,0.333333333333333,0.2097059985
0.5,0.333333333333333,0.1967528858
0.666666666666667,0.333333333333333,0.1837501666
0,0.5,0.2399829257
0.166666666666667,0.5,0.2268478374
0.333333333333333,0.5,0.2136631427
0.5,0.5,0.2004288416
0,0.666666666666667,0.2437892669
0.166666666666667,0.666666666666667,0.2303729903
0.333333333333333,0.666666666666667,0.2169071072
0,0.833333333333333,0.2468824285
0.166666666666667,0.833333333333333,0.2331849635
0,1,0.2492624104
